"altura","peso","imc","sexo","escolaridade","profissao","fumante","fumante.n","salario","carro","filho"
"23",1.46,53.24,24.98,"F","2º Grau","Humanas","não",0,2742.71,3,0
"24",1.55,56.84,23.66,"M","Mestrado","Exatas","não",0,2876.77,3,2
"25",1.43,52.23,25.54,"M","3º Grau","Humanas","não",0,3088.89,3,1
"26",1.36,49.21,26.61,"F","3º Grau","Humanas","sim",1,2692.61,0,2
"27",1.56,57.3,23.55,"F","Analfabeto","Humanas","não",0,2763.91,3,0
"28",1.4,50.91,25.97,"M","2º Grau","Exatas","sim",1,2458.51,2,2
"29",1.5,54.94,24.42,"F","PósDoc","Biológicas","sim",1,2758.62,3,1
"30",1.41,51.26,25.78,"F","2º Grau","Humanas","não",0,3690.77,0,0
"31",1.61,59.41,22.92,"F","3º Grau","Exatas","não",0,3121.65,2,1
"32",1.45,53.1,25.26,"F","PósDoc","Exatas","não",0,3831.34,0,1
"33",1.43,52.16,25.51,"M","Mestrado","Humanas","não",0,2756.67,3,2
"34",1.45,52.99,25.2,"F","3º Grau","Biológicas","não",0,3443.95,1,0
"35",1.34,48.48,27,"M","3º Grau","Exatas","não",0,3512.04,2,2
"36",1.38,50.33,26.43,"F","Analfabeto","Humanas","sim",1,3492.6,3,1
"37",1.28,46.28,28.25,"F","PósDoc","Biológicas","não",0,2163.3,1,0
"38",1.37,49.64,26.45,"M","3º Grau","Biológicas","não",0,2809.71,2,1
"39",1.47,53.82,24.91,"F","PósDoc","Humanas","sim",1,2453.68,0,1
"40",1.45,53.14,25.27,"F","Doutorado","Exatas","sim",1,2985.77,2,2
"41",1.64,60.8,22.61,"M","1º Grau","Biológicas","não",0,2369.03,0,1
"42",1.39,50.73,26.26,"M","1º Grau","Humanas","sim",1,2591.94,1,1
"43",1.41,51.58,25.94,"F","Mestrado","Exatas","não",0,3082.14,3,2
"44",1.47,53.88,24.93,"M","Analfabeto","Biológicas","sim",1,2669.63,3,2
"45",1.4,51.02,26.03,"M","Analfabeto","Biológicas","não",0,3047.94,3,0
"46",1.4,51.13,26.09,"F","1º Grau","Exatas","não",0,3115.84,1,1
"47",1.39,50.57,26.17,"F","Mestrado","Humanas","sim",1,2615.38,1,0
"48",1.37,49.99,26.63,"M","Doutorado","Exatas","não",0,2525.77,1,2
"49",1.45,52.9,25.16,"F","3º Grau","Biológicas","não",0,3108.03,2,1
"50",1.45,53.01,25.21,"M","3º Grau","Exatas","sim",1,2893.57,3,1
"51",1.32,47.78,27.42,"M","Mestrado","Exatas","não",0,3518.2,3,2
"52",1.44,52.67,25.4,"M","2º Grau","Humanas","não",0,2502.52,1,0
"53",1.39,50.56,26.17,"F","3º Grau","Humanas","sim",1,3446.97,0,2
"54",1.4,50.94,25.99,"M","PósDoc","Biológicas","não",0,2731.2,1,0
"55",1.48,54.35,24.81,"M","3º Grau","Humanas","não",0,3747.69,3,0
"56",1.56,57.25,23.52,"F","3º Grau","Humanas","não",0,2937.77,1,2
"57",1.66,61.59,22.35,"M","Analfabeto","Exatas","não",0,3140.64,3,0
"58",1.42,51.91,25.74,"F","1º Grau","Biológicas","sim",1,2739.96,3,0
"59",1.66,61.42,22.29,"M","1º Grau","Exatas","não",0,3510.67,1,0
"60",1.38,50.37,26.45,"F","1º Grau","Humanas","sim",1,3145.7,0,1
"61",1.57,57.63,23.38,"F","1º Grau","Exatas","sim",1,2446.15,0,1
"62",1.75,65.2,21.29,"F","2º Grau","Exatas","não",0,2867.56,0,0
"63",1.5,54.86,24.38,"F","Analfabeto","Exatas","não",0,3114.65,1,0
"64",1.43,52.32,25.59,"F","PósDoc","Biológicas","não",0,2666.27,3,0
"65",1.5,54.97,24.43,"M","3º Grau","Humanas","não",0,3329.95,1,0
"66",1.68,62.11,22.01,"M","PósDoc","Biológicas","sim",1,3295.24,1,1
"67",1.39,50.45,26.11,"M","2º Grau","Humanas","não",0,3619.44,1,0
"68",1.64,60.47,22.48,"F","Mestrado","Exatas","não",0,3427.53,2,2
"69",1.63,60.32,22.7,"F","1º Grau","Humanas","não",0,2812.16,2,2
"70",1.53,56.35,24.07,"F","2º Grau","Exatas","não",0,2971.78,3,0
"71",1.5,55.03,24.46,"M","Doutorado","Exatas","não",0,2617.61,0,2
"72",1.45,53.18,25.29,"M","Mestrado","Humanas","sim",1,3121.1,0,1
"73",1.46,53.53,25.11,"F","2º Grau","Exatas","não",0,3979.81,0,1
"74",1.56,57.59,23.66,"M","Analfabeto","Exatas","sim",1,3366.65,1,0
"75",1.71,63.28,21.64,"M","Analfabeto","Exatas","não",0,2824.28,3,0
"76",1.48,54.39,24.83,"M","3º Grau","Biológicas","não",0,2423.01,2,1
"77",1.36,49.44,26.73,"M","PósDoc","Humanas","não",0,3106.08,0,0
"78",1.43,52.11,25.48,"F","1º Grau","Humanas","não",0,2703.34,0,0
"79",1.53,56.03,23.94,"M","Analfabeto","Exatas","não",0,3018.62,3,2
"80",1.47,53.73,24.86,"M","2º Grau","Humanas","sim",1,3489.85,1,0
"81",1.48,54.29,24.79,"F","PósDoc","Biológicas","sim",1,2707.7,1,2
"82",1.48,54.32,24.8,"M","3º Grau","Humanas","não",0,3021.02,0,0
"83",1.36,49.51,26.77,"F","PósDoc","Humanas","não",0,3441.36,1,0
"84",1.48,54.3,24.79,"F","PósDoc","Exatas","não",0,2762.23,3,1
"85",1.59,58.4,23.1,"M","Analfabeto","Humanas","não",0,2599.48,1,0
"86",1.57,57.79,23.45,"M","1º Grau","Exatas","sim",1,2636.96,0,2
"87",1.55,57.2,23.81,"F","2º Grau","Biológicas","não",0,2491.04,0,0
"88",1.46,53.39,25.05,"M","Analfabeto","Humanas","não",0,2537.88,0,1
"89",1.48,54.23,24.76,"F","Analfabeto","Humanas","não",0,3495.86,2,2
"90",1.38,50.22,26.37,"M","PósDoc","Humanas","sim",1,2688.67,1,1
"91",1.49,54.79,24.68,"M","Mestrado","Exatas","não",0,2962.39,1,0
"92",1.53,56.02,23.93,"F","Analfabeto","Exatas","sim",1,3342.18,1,0
"93",1.67,61.82,22.17,"F","Doutorado","Biológicas","não",0,3189.99,1,1
"94",1.6,59.01,23.05,"M","Doutorado","Humanas","não",0,2808.68,0,0
"95",1.45,53.02,25.22,"M","PósDoc","Exatas","não",0,2876.68,0,2
"96",1.54,56.42,23.79,"M","PósDoc","Biológicas","não",0,3037.32,3,2
"97",1.39,50.46,26.12,"F","Mestrado","Biológicas","não",0,3700.96,3,0
"98",1.59,58.51,23.14,"F","Analfabeto","Biológicas","não",0,2825.5,1,0
"99",1.6,58.89,23,"F","2º Grau","Biológicas","não",0,2900.25,1,0
"100",1.71,63.48,21.71,"M","2º Grau","Humanas","sim",1,2614.9,3,1
"101",1.54,56.66,23.89,"M","1º Grau","Humanas","não",0,3254.06,0,0
"102",1.45,53.1,25.26,"M","1º Grau","Exatas","não",0,3218.43,3,0
"103",1.51,55.26,24.24,"F","1º Grau","Humanas","não",0,2991.63,2,0
"104",1.45,52.99,25.2,"F","Mestrado","Humanas","não",0,3275.79,3,2
"105",1.42,51.7,25.64,"F","PósDoc","Humanas","não",0,2825.86,1,0
"106",1.52,55.67,24.1,"F","1º Grau","Humanas","não",0,2847.28,1,1
"107",1.41,51.41,25.86,"F","PósDoc","Biológicas","não",0,2894.03,1,2
"108",1.52,55.67,24.1,"F","Analfabeto","Humanas","não",0,3022.5,0,0
"109",1.54,56.42,23.79,"F","PósDoc","Humanas","não",0,2686.79,1,2
"110",1.49,54.79,24.68,"M","PósDoc","Exatas","não",0,2825.64,3,0
"111",1.48,54.22,24.75,"F","PósDoc","Exatas","sim",1,3370.76,1,0
"112",1.44,52.4,25.27,"M","1º Grau","Humanas","não",0,2369.3,3,2
"113",1.39,50.56,26.17,"F","1º Grau","Humanas","sim",1,3085.74,2,1
"114",1.58,58.4,23.39,"M","PósDoc","Exatas","não",0,3280.56,0,1
"115",1.5,55.09,24.48,"M","Mestrado","Humanas","não",0,3085.81,1,0
"116",1.58,58.32,23.36,"M","Mestrado","Exatas","sim",1,3538.84,1,1
"117",1.38,50.02,26.27,"M","Doutorado","Biológicas","sim",1,2961.61,1,1
"118",1.52,55.68,24.1,"F","Mestrado","Biológicas","não",0,3078.88,1,2
"119",1.57,57.69,23.4,"M","PósDoc","Humanas","não",0,2767.1,2,1
"120",1.5,54.89,24.4,"F","Mestrado","Biológicas","sim",1,2747.17,3,1
"121",1.48,54.23,24.76,"F","Doutorado","Biológicas","sim",1,3045.65,0,2
"122",1.42,51.87,25.72,"M","Analfabeto","Biológicas","sim",1,2640.54,3,2
"123",1.71,63.23,21.62,"M","1º Grau","Exatas","sim",1,3065.48,1,1
"124",1.58,58,23.23,"M","Analfabeto","Exatas","sim",1,2472.87,1,2
"125",1.68,62.3,22.07,"M","1º Grau","Exatas","não",0,2814.4,0,0
"126",1.51,55.32,24.26,"M","2º Grau","Biológicas","não",0,3000.02,0,2
"127",1.44,52.47,25.3,"M","2º Grau","Exatas","não",0,3226.95,2,2
"128",1.35,48.95,26.86,"F","1º Grau","Exatas","não",0,3226.39,2,0
"129",1.44,52.46,25.3,"F","Analfabeto","Exatas","não",0,1642.26,2,0
"130",1.52,55.91,24.2,"F","Analfabeto","Humanas","não",0,2542.65,3,0
"131",1.6,59.05,23.07,"M","Mestrado","Humanas","sim",1,3117.84,3,2
"132",1.53,56.01,23.93,"F","3º Grau","Humanas","sim",1,3427.74,1,2
"133",1.38,50.31,26.42,"M","Mestrado","Humanas","não",0,2667.6,2,1
"134",1.57,57.67,23.4,"M","PósDoc","Biológicas","não",0,2996.82,0,1
"135",1.33,48.4,27.36,"F","1º Grau","Biológicas","sim",1,2557.95,1,0
"136",1.46,53.54,25.12,"F","PósDoc","Humanas","não",0,3024.95,1,2
"137",1.47,53.74,24.87,"F","Mestrado","Biológicas","sim",1,2590.13,2,2
"138",1.31,47.21,27.51,"M","2º Grau","Biológicas","não",0,2873.41,2,0
"139",1.59,58.68,23.21,"M","Doutorado","Humanas","sim",1,2142.09,1,2
"140",1.44,52.51,25.32,"F","Mestrado","Humanas","sim",1,3194.83,3,1
"141",1.47,53.66,24.83,"M","Doutorado","Exatas","não",0,2962.46,2,2
"142",1.64,60.58,22.52,"M","3º Grau","Biológicas","sim",1,3342.08,0,0
"143",1.56,57.55,23.65,"F","2º Grau","Humanas","não",0,2806.01,2,1
"144",1.49,54.57,24.58,"M","Analfabeto","Humanas","não",0,3216.73,2,2
"145",1.55,57.06,23.75,"F","PósDoc","Exatas","não",0,2617.29,1,1
"146",1.54,56.6,23.87,"M","3º Grau","Humanas","sim",1,3399.81,2,0
"147",1.67,61.65,22.11,"F","2º Grau","Humanas","sim",1,3256.69,3,2
"148",1.53,56.1,23.97,"M","2º Grau","Humanas","não",0,2989.82,1,2
"149",1.55,57.03,23.74,"F","Mestrado","Exatas","sim",1,2545.21,1,1
"150",1.53,56.39,24.09,"F","Mestrado","Humanas","não",0,3007.46,0,2
"151",1.46,53.49,25.09,"F","Mestrado","Biológicas","não",0,2864.59,2,0
"152",1.51,55.39,24.29,"F","PósDoc","Exatas","não",0,3072.62,1,1
"153",1.66,61.55,22.34,"F","2º Grau","Humanas","não",0,2910.71,1,0
"154",1.41,51.5,25.9,"M","Analfabeto","Humanas","sim",1,3026.41,2,0
"155",1.51,55.49,24.34,"F","1º Grau","Exatas","não",0,2305.38,2,2
"156",1.64,60.45,22.48,"F","2º Grau","Humanas","sim",1,3158.57,0,2
"157",1.48,54.06,24.68,"F","3º Grau","Biológicas","sim",1,3011.75,2,1
"158",1.39,50.79,26.29,"M","2º Grau","Biológicas","sim",1,3205.16,3,1
"159",1.41,51.52,25.91,"M","Analfabeto","Exatas","não",0,2976.67,2,1
"160",1.46,53.44,25.07,"F","Doutorado","Biológicas","não",0,2752.53,3,2
"161",1.42,51.61,25.6,"F","Analfabeto","Humanas","não",0,2757.98,2,1
"162",1.47,53.96,24.97,"F","2º Grau","Biológicas","não",0,2843.8,1,2
"163",1.46,53.34,25.02,"M","2º Grau","Exatas","não",0,3451.04,3,1
"164",1.48,54.27,24.78,"F","3º Grau","Biológicas","não",0,3173.15,2,0
"165",1.54,56.63,23.88,"F","3º Grau","Exatas","não",0,2506.73,3,0
"166",1.56,57.5,23.63,"M","3º Grau","Exatas","sim",1,2652.2,0,0
"167",1.67,61.71,22.13,"M","Doutorado","Biológicas","não",0,2819.34,2,0
"168",1.49,54.73,24.65,"F","Mestrado","Exatas","não",0,3036.24,1,1
"169",1.47,53.72,24.86,"F","1º Grau","Biológicas","sim",1,3079.14,2,0
"170",1.65,60.88,22.36,"M","3º Grau","Exatas","não",0,3396.5,2,1
"171",1.67,61.82,22.17,"F","Doutorado","Humanas","sim",1,2523.08,1,1
"172",1.5,55.17,24.52,"M","2º Grau","Exatas","não",0,3644.05,0,0
"173",1.47,53.67,24.84,"M","2º Grau","Biológicas","sim",1,2851.72,2,1
"174",1.32,47.71,27.38,"M","Analfabeto","Exatas","não",0,2494.52,3,1
"175",1.64,60.65,22.55,"F","1º Grau","Exatas","não",0,3037.72,3,0
"176",1.42,51.65,25.61,"M","Mestrado","Exatas","sim",1,2504.65,1,1
"177",1.39,50.5,26.14,"M","Analfabeto","Humanas","não",0,2887.11,1,1
"178",1.8,67.18,20.73,"F","2º Grau","Humanas","não",0,3594.9,3,2
"179",1.52,55.94,24.21,"M","3º Grau","Humanas","não",0,2799.43,3,2
"180",1.5,54.87,24.39,"M","1º Grau","Biológicas","não",0,2883.53,2,2
"181",1.23,44.07,29.13,"F","Analfabeto","Humanas","não",0,3098.49,3,2
"182",1.49,54.6,24.59,"M","3º Grau","Humanas","não",0,3209.68,3,0
"183",1.6,58.9,23.01,"F","1º Grau","Humanas","sim",1,3399.84,0,2
"184",1.54,56.66,23.89,"M","Mestrado","Humanas","não",0,3509.61,2,2
"185",1.59,58.65,23.2,"M","Mestrado","Biológicas","sim",1,2710.11,2,1
"186",1.7,62.93,21.78,"F","3º Grau","Humanas","não",0,2894.6,1,0
"187",1.62,59.68,22.74,"F","Mestrado","Exatas","sim",1,2721.24,2,2
"188",1.45,52.97,25.19,"F","Doutorado","Exatas","sim",1,3021.75,3,0
"189",1.57,57.82,23.46,"F","1º Grau","Biológicas","não",0,2505.24,1,0
"190",1.48,54.21,24.75,"F","3º Grau","Humanas","sim",1,2841.43,2,0
"191",1.45,52.85,25.14,"M","Analfabeto","Exatas","sim",1,3057.49,1,2
"192",1.21,43.58,29.77,"F","Analfabeto","Humanas","sim",1,3054.13,2,0
"193",1.42,51.84,25.71,"M","3º Grau","Exatas","não",0,3250.29,0,1
"194",1.55,56.95,23.7,"M","3º Grau","Humanas","sim",1,2992.74,2,0
"195",1.72,63.67,21.52,"M","2º Grau","Biológicas","sim",1,3149.4,1,2
"196",1.55,57,23.73,"F","PósDoc","Humanas","sim",1,3265.34,3,2
"197",1.56,57.48,23.62,"M","Analfabeto","Biológicas","sim",1,2910.19,0,2
"198",1.4,51.14,26.09,"M","1º Grau","Exatas","sim",1,3506.23,1,1
"199",1.52,55.65,24.09,"M","Analfabeto","Humanas","sim",1,2485.9,2,0
"200",1.29,46.69,28.06,"F","3º Grau","Biológicas","sim",1,2850.86,3,0
"201",1.55,56.94,23.7,"F","3º Grau","Exatas","sim",1,3035,3,2
"202",1.57,57.79,23.45,"F","2º Grau","Humanas","não",0,2970.49,2,1
"203",1.52,55.74,24.13,"F","2º Grau","Humanas","não",0,3414.92,3,1
"204",1.57,57.8,23.45,"F","Doutorado","Humanas","sim",1,3228.82,0,0
"205",1.53,56.25,24.03,"M","1º Grau","Humanas","não",0,2929.31,2,1
"206",1.58,58.04,23.25,"F","1º Grau","Biológicas","sim",1,2785.95,2,2
"207",1.68,62.37,22.1,"F","PósDoc","Humanas","não",0,3857.67,3,1
"208",1.61,59.45,22.94,"M","3º Grau","Humanas","não",0,2669.01,0,0
"209",1.5,55.13,24.5,"M","1º Grau","Humanas","não",0,3078.39,2,1
"210",1.39,50.54,26.16,"F","Mestrado","Humanas","sim",1,3087.87,1,1
"211",1.54,56.67,23.9,"F","3º Grau","Biológicas","não",0,3364.05,0,0
"212",1.46,53.4,25.05,"M","Analfabeto","Humanas","não",0,3873.09,2,2
"213",1.65,60.97,22.39,"M","PósDoc","Biológicas","não",0,2989.42,0,1
"214",1.34,48.57,27.05,"M","Analfabeto","Biológicas","sim",1,2779.66,0,0
"215",1.46,53.34,25.02,"F","Analfabeto","Exatas","não",0,2774.2,0,2
"216",1.54,56.69,23.9,"M","Mestrado","Biológicas","sim",1,2990.63,1,1
"217",1.48,54.39,24.83,"M","1º Grau","Biológicas","sim",1,2527.5,1,0
"218",1.44,52.58,25.36,"F","2º Grau","Exatas","sim",1,3609,0,0
"219",1.47,53.78,24.89,"M","1º Grau","Biológicas","não",0,3337.04,3,2
"220",1.56,57.52,23.64,"M","PósDoc","Humanas","sim",1,3514.34,2,2
"221",1.59,58.58,23.17,"M","PósDoc","Humanas","não",0,3210.85,3,2
"222",1.57,57.64,23.38,"F","PósDoc","Humanas","não",0,3872.11,1,2
"223",1.73,64.09,21.41,"F","Doutorado","Biológicas","não",0,2182.1,0,0
"224",1.62,59.69,22.74,"F","1º Grau","Exatas","não",0,2618.13,1,0
"225",1.53,56.15,23.99,"F","Doutorado","Biológicas","não",0,3025.51,0,2
"226",1.43,52.36,25.61,"M","Mestrado","Humanas","não",0,2836.9,0,0
"227",1.79,66.68,20.81,"M","Mestrado","Exatas","sim",1,3165.73,0,1
"228",1.57,57.71,23.41,"M","Analfabeto","Humanas","não",0,2969.51,3,0
"229",1.43,52.26,25.56,"F","2º Grau","Humanas","não",0,2873.14,1,1
"230",1.52,55.75,24.13,"M","Doutorado","Humanas","não",0,2908.93,3,1
"231",1.47,53.7,24.85,"F","Mestrado","Humanas","sim",1,3234.46,1,0
"232",1.47,53.9,24.94,"M","2º Grau","Exatas","não",0,3791.21,2,2
"233",1.41,51.27,25.79,"F","Doutorado","Humanas","não",0,2612.71,3,2
"234",1.51,55.47,24.33,"M","1º Grau","Humanas","sim",1,3314.51,0,1
"235",1.53,56.28,24.04,"M","PósDoc","Exatas","não",0,3483.34,1,2
"236",1.39,50.69,26.24,"F","Mestrado","Humanas","não",0,2788.85,0,0
"237",1.18,42.07,30.21,"F","Mestrado","Humanas","sim",1,3190.92,1,1
"238",1.47,53.98,24.98,"F","2º Grau","Humanas","não",0,3160.95,2,0
"239",1.5,55.12,24.5,"F","PósDoc","Exatas","não",0,3226.45,2,0
"240",1.56,57.38,23.58,"M","Doutorado","Exatas","sim",1,2228.89,0,2
"241",1.51,55.24,24.23,"F","1º Grau","Humanas","não",0,2879.71,0,0
"242",1.54,56.65,23.89,"F","PósDoc","Exatas","não",0,3644.94,0,1
"243",1.39,50.61,26.19,"M","Analfabeto","Humanas","não",0,3247.87,0,1
"244",1.57,57.84,23.47,"F","3º Grau","Exatas","sim",1,2587.28,0,1
"245",1.57,57.88,23.48,"F","Doutorado","Exatas","sim",1,2746.91,2,2
"246",1.53,56.01,23.93,"M","PósDoc","Biológicas","não",0,2809.93,1,2
"247",1.64,60.43,22.47,"F","2º Grau","Exatas","sim",1,3123.13,3,2
"248",1.54,56.62,23.87,"F","2º Grau","Biológicas","não",0,3395.62,1,0
"249",1.53,56.06,23.95,"M","Doutorado","Exatas","sim",1,3209.73,2,0
"250",1.53,56.07,23.95,"M","3º Grau","Exatas","sim",1,3038.04,1,1
"251",1.54,56.75,23.93,"M","Analfabeto","Exatas","não",0,2992.05,1,1
"252",1.61,59.24,22.85,"F","3º Grau","Humanas","não",0,3155.1,3,1
"253",1.55,56.81,23.65,"F","3º Grau","Humanas","não",0,2337.84,3,0
"254",1.57,57.65,23.39,"F","Mestrado","Humanas","não",0,3219.55,2,1
"255",1.39,50.45,26.11,"F","Mestrado","Exatas","não",0,3360.37,0,0
"256",1.46,53.52,25.11,"F","3º Grau","Humanas","não",0,3671.64,3,1
"257",1.65,60.91,22.37,"M","Doutorado","Exatas","não",0,2741.68,0,2
"258",1.38,50.1,26.31,"M","1º Grau","Biológicas","não",0,3036.43,0,1
"259",1.53,56.03,23.94,"M","Mestrado","Humanas","não",0,2811.41,1,2
"260",1.54,56.62,23.87,"F","PósDoc","Humanas","não",0,2269.2,0,0
"261",1.6,58.9,23.01,"F","PósDoc","Biológicas","sim",1,2624.16,2,0
"262",1.47,53.6,24.8,"M","3º Grau","Exatas","não",0,3393.42,2,2
"263",1.52,55.63,24.08,"F","PósDoc","Biológicas","não",0,3334.24,2,1
"264",1.32,47.95,27.52,"F","PósDoc","Exatas","não",0,2758.89,1,0
"265",1.53,56.35,24.07,"F","PósDoc","Humanas","não",0,2770.2,1,1
"266",1.43,52.33,25.59,"F","1º Grau","Humanas","não",0,2656.84,2,2
"267",1.48,54.05,24.68,"M","1º Grau","Humanas","sim",1,2953.7,1,2
"268",1.38,50.25,26.39,"M","PósDoc","Biológicas","não",0,2931.9,0,0
"269",1.54,56.54,23.84,"M","Mestrado","Biológicas","não",0,2643.5,3,1
"270",1.57,57.67,23.4,"M","Mestrado","Biológicas","sim",1,2673.36,0,1
"271",1.47,53.78,24.89,"M","Analfabeto","Humanas","não",0,3161.06,1,2
"272",1.68,62.3,22.07,"F","Analfabeto","Exatas","sim",1,3074.1,2,2
"273",1.57,57.68,23.4,"M","3º Grau","Biológicas","não",0,2513.2,2,0
"274",1.59,58.79,23.25,"M","3º Grau","Biológicas","sim",1,3132.18,2,1
"275",1.7,63.2,21.87,"M","3º Grau","Biológicas","não",0,3070.34,2,2
"276",1.43,52.4,25.62,"F","1º Grau","Exatas","não",0,2945.49,3,0
"277",1.58,58.23,23.33,"M","Mestrado","Humanas","sim",1,3185.06,2,1
"278",1.6,58.95,23.03,"M","3º Grau","Humanas","não",0,3250.78,3,2
"279",1.5,54.98,24.44,"M","3º Grau","Exatas","não",0,3957.41,0,2
"280",1.53,56.28,24.04,"M","Doutorado","Biológicas","não",0,2742.5,3,0
"281",1.4,50.95,25.99,"F","2º Grau","Humanas","não",0,2750.16,1,1
"282",1.55,56.88,23.68,"F","3º Grau","Biológicas","não",0,2764.92,0,2
"283",1.43,52.2,25.53,"F","PósDoc","Exatas","sim",1,2557.56,3,0
"284",1.58,58.25,23.33,"M","1º Grau","Humanas","sim",1,2870.54,2,2
"285",1.42,51.75,25.66,"M","Mestrado","Humanas","sim",1,3276.99,2,0
"286",1.53,56.28,24.04,"M","Mestrado","Humanas","não",0,3145.39,1,0
"287",1.42,51.61,25.6,"F","2º Grau","Humanas","não",0,3268.7,0,2
"288",1.48,54.02,24.66,"F","2º Grau","Humanas","não",0,2386.42,1,1
"289",1.34,48.79,27.17,"F","PósDoc","Humanas","sim",1,2984.42,1,1
"290",1.51,55.51,24.35,"F","1º Grau","Humanas","sim",1,3459.09,3,1
"291",1.6,58.94,23.02,"F","Analfabeto","Biológicas","sim",1,3173.03,2,0
"292",1.52,55.73,24.12,"F","Mestrado","Exatas","não",0,3306.62,1,0
"293",1.32,47.94,27.51,"F","1º Grau","Humanas","sim",1,2332.38,2,0
"294",1.44,52.52,25.33,"F","Analfabeto","Exatas","não",0,2628.17,0,2
"295",1.67,61.62,22.09,"M","2º Grau","Exatas","sim",1,3219.33,2,2
"296",1.68,62.24,22.05,"F","Analfabeto","Biológicas","sim",1,3111.49,2,0
"297",1.38,50.3,26.41,"M","1º Grau","Exatas","sim",1,2898.46,2,1
"298",1.46,53.53,25.11,"M","Doutorado","Exatas","não",0,3266.54,1,2
"299",1.54,56.41,23.79,"F","PósDoc","Exatas","sim",1,3775.53,2,2
"300",1.53,56.28,24.04,"M","1º Grau","Humanas","não",0,2623.95,1,2
"301",1.44,52.68,25.41,"M","Doutorado","Exatas","não",0,3215.34,0,1
"302",1.4,51.19,26.12,"F","1º Grau","Exatas","sim",1,3666.95,3,2
"303",1.48,54.28,24.78,"F","Analfabeto","Exatas","não",0,2709.99,2,0
"304",1.6,59.04,23.06,"F","Mestrado","Exatas","não",0,2806.74,3,2
"305",1.5,55.09,24.48,"M","Analfabeto","Biológicas","sim",1,2121.98,2,1
"306",1.44,52.4,25.27,"M","1º Grau","Exatas","não",0,2575.24,1,1
"307",1.45,52.98,25.2,"M","PósDoc","Biológicas","não",0,2962.05,0,2
"308",1.66,61.46,22.3,"M","Doutorado","Exatas","sim",1,3404.65,2,2
"309",1.46,53.21,24.96,"M","3º Grau","Biológicas","não",0,2753.05,0,0
"310",1.58,58.05,23.25,"M","2º Grau","Humanas","sim",1,2518.61,3,2
"311",1.65,60.89,22.37,"F","PósDoc","Humanas","sim",1,2238.6,2,1
"312",1.54,56.77,23.94,"F","1º Grau","Humanas","sim",1,3122.46,0,1
"313",1.46,53.31,25.01,"F","1º Grau","Humanas","não",0,3101.07,3,2
"314",1.5,54.84,24.37,"F","2º Grau","Biológicas","não",0,2982.91,3,0
"315",1.45,53.03,25.22,"F","Analfabeto","Humanas","não",0,3120.09,2,2
"316",1.62,59.91,22.83,"M","3º Grau","Exatas","não",0,3051.1,2,1
"317",1.49,54.4,24.5,"M","Analfabeto","Exatas","não",0,3235.12,2,0
"318",1.65,61.2,22.48,"F","3º Grau","Biológicas","não",0,3303.83,2,1
"319",1.44,52.75,25.44,"F","PósDoc","Exatas","não",0,3510.87,3,2
"320",1.44,52.41,25.27,"M","3º Grau","Biológicas","sim",1,2979.46,3,0
"321",1.51,55.57,24.37,"M","Mestrado","Biológicas","não",0,2678.54,3,1
"322",1.5,55.1,24.49,"M","2º Grau","Humanas","sim",1,2451.05,0,1
"323",1.45,52.98,25.2,"M","2º Grau","Exatas","não",0,2708.91,0,1
"324",1.34,48.67,27.11,"M","PósDoc","Humanas","não",0,2323.19,0,2
"325",1.5,55.12,24.5,"F","PósDoc","Exatas","não",0,3238.17,0,2
